,tm
188,84.6
189,60.4
190,39.6
191,48.7
192,49.3
193,44.0
194,66.7
195,65.3
196,47.9
197,42.1
198,59.3
199,74.2
200,46.9
201,39.3
202,49.4
203,40.4
204,41.1
205,49.5
206,41.0
207,43.3
208,40.7
209,48.7
210,61.1
211,50.4
212,46.0
213,43.9
214,41.6
215,54.7
216,54.8
217,51.5
218,41.4
219,89.3
220,39.6
221,49.8
222,57.4
223,65.9
224,57.9
225,51.6
226,71.9
227,52.5
228,88.3
229,39.3
230,49.2
231,52.8
232,47.2
233,38.3
234,60.6
235,44.1
236,88.2
237,39.6
238,82.9
239,41.8
240,44.3
241,49.3
242,45.6
243,85.1
244,48.5
245,43.7
246,60.5
247,59.0
248,56.1
249,49.7
250,49.5
251,43.3
252,41.4
253,89.4
254,46.8
255,56.1
256,51.6
257,46.0
258,85.4
259,37.6
260,45.1
261,36.5
262,54.6
263,40.3
264,52.1
265,84.9
266,48.6
267,45.0
268,49.8
269,54.8
270,53.1
271,55.2
272,59.7
273,41.7
274,58.7
275,39.4
276,46.3
277,63.1
278,57.5
279,57.0
280,50.3
281,55.1
282,50.8
283,48.6
284,54.7
285,44.9
286,53.3
287,63.6
288,55.8
289,50.8
290,52.0
291,52.7
292,48.2
293,54.8
294,43.7
295,52.0
296,55.2
297,48.0
298,57.8
299,58.9
300,48.0
301,63.7
302,89.0
303,48.2
304,52.2
305,44.7
306,53.8
307,42.7
308,49.7
309,48.5
310,51.9
311,49.6
312,48.1
313,42.3
314,53.7
315,51.9
316,41.5
317,51.0
318,50.2
319,52.9
320,52.6
321,53.9
322,55.8
323,49.8
324,36.0
325,53.7
326,39.9
327,49.1
328,86.4
329,74.8
330,51.6
331,48.8
332,45.4
333,51.9
334,45.8
335,55.2
336,47.2
337,45.1
338,52.6
339,55.2
340,46.6
341,46.3
342,56.2
343,42.0
344,39.3
345,49.2
346,68.7
347,44.5
348,50.8
349,45.7
350,45.7
351,91.4
352,55.5
353,44.3
354,45.4
355,58.2
356,91.1
357,46.0
358,41.8
359,86.8
360,48.9
361,39.9
362,50.9
363,42.5
364,50.6
365,45.1
366,85.1
367,47.5
368,42.0
369,43.8
370,44.2
371,39.0
372,48.9
373,51.9
374,46.6
375,45.6
376,46.1
377,44.0
378,45.6
379,89.7
380,49.5
381,50.9
382,45.1
383,46.1
384,39.3
385,48.6
386,51.7
387,59.7
388,45.1
389,47.1
390,47.8
391,52.2
392,51.4
393,53.0
394,67.5
395,50.1
396,50.5
397,58.3
398,45.7
399,48.1
400,47.9
401,43.5
402,46.6
403,52.8
404,51.8
405,48.6
406,53.0
407,57.1
408,51.4
409,45.5
410,62.6
411,31.2
412,39.2
413,56.8
414,46.0
415,46.5
416,45.1
417,53.2
418,54.3
419,46.9
420,50.3
421,53.4
422,38.7
423,46.0
424,47.3
425,43.1
426,52.7
427,42.6
428,39.0
429,49.5
430,54.4
431,49.9
432,54.6
433,49.8
434,49.2
435,48.3
436,51.0
437,49.3
438,48.5
439,51.5
440,49.4
441,51.0
442,45.8
443,49.7
444,37.6
445,41.4
446,53.6
447,51.1
448,50.1
449,52.5
450,53.1
451,48.9
452,49.0
453,49.9
454,50.8
455,49.2
456,54.6
457,47.9
458,49.6
459,54.2
460,49.4
461,46.9
462,46.0
463,46.7
464,47.1
465,58.7
466,50.3
467,56.4
468,46.0
469,65.4
470,45.7
471,48.9
472,49.8
473,47.8
474,48.7
475,47.0
476,50.2
477,52.1
478,56.0
479,49.4
480,54.3
481,48.4
482,53.5
483,46.1
484,51.6
485,53.8
486,44.0
487,51.8
488,55.5
489,47.0
490,47.7
491,46.9
492,57.4
493,53.3
494,50.8
495,51.4
496,47.5
497,44.5
498,57.6
499,57.4
500,50.9
501,38.8
502,53.3
503,50.8
504,49.5
505,48.6
506,52.5
507,46.4
508,53.3
509,56.4
510,37.1
511,53.1
512,50.9
513,45.1
514,38.0
515,49.0
516,60.5
517,51.7
518,56.7
519,55.3
520,50.4
521,39.7
522,52.8
523,48.7
524,45.8
525,51.4
526,44.4
527,46.5
528,44.5
529,52.0
530,49.5
531,52.9
532,52.4
533,41.9
534,49.2
535,47.3
536,52.5
537,48.2
538,48.6
539,54.3
540,40.6
541,38.5
542,43.3
543,44.4
544,45.1
545,55.0
546,52.7
547,48.5
548,49.6
549,50.5
550,52.0
551,50.9
552,52.8
553,50.3
554,52.4
555,53.1
556,47.2
557,43.5
558,42.8
559,51.1
560,53.0
561,38.2
562,43.9
563,50.8
564,49.5
565,51.0
566,47.2
567,54.9
568,76.7
569,46.3
570,54.5
571,51.3
572,54.1
573,40.9
574,53.1
575,53.1
576,44.9
577,48.5
578,43.9
579,52.8
580,47.2
581,47.3
582,45.6
583,44.9
584,47.8
585,47.8
586,45.6
587,49.4
588,53.0
589,45.8
590,60.0
591,40.7
592,57.6
593,51.4
594,48.0
595,42.1
596,41.4
597,43.5
598,37.2
599,44.1
600,37.7
601,48.9
602,37.8
603,47.9
604,51.3
605,49.8
606,42.8
607,47.2
608,44.1
609,40.2
610,64.0
611,47.2
612,43.9
613,59.4
614,46.3
615,52.9
616,54.8
617,50.4
618,50.0
619,51.2
620,54.5
621,41.9
622,46.6
623,47.7
624,41.5
625,62.6
626,50.0
627,44.2
628,52.6
629,50.9
630,49.4
631,49.7
632,54.4
633,42.5
634,48.8
635,49.0
636,58.8
637,45.9
638,51.0
639,56.3
640,56.0
641,53.7
642,48.8
643,57.3
644,44.0
645,54.6
646,48.0
647,42.7
648,54.3
649,48.8
650,47.1
651,52.2
652,48.3
653,51.3
654,59.8
655,48.1
656,53.2
657,56.1
658,52.0
659,36.8
660,55.8
661,50.2
662,48.5
663,46.5
664,46.2
665,39.9
666,43.9
667,42.7
668,42.7
669,52.5
670,43.0
671,50.0
672,46.9
673,35.4
674,45.7
675,40.9
676,38.4
677,57.4
678,51.3
679,43.8
680,48.0
681,56.9
682,44.9
683,57.5
684,72.4
685,47.6
686,40.1
687,51.8
688,39.4
689,47.9
690,45.2
691,49.3
692,55.0
693,41.4
694,41.9
695,50.6
696,22.0
697,22.0
698,22.0
699,22.0
700,22.0
701,22.0
702,22.0
703,22.0
704,22.0
705,22.0
706,22.0
707,22.0
708,22.0
709,22.0
710,22.0
711,22.0
712,22.0
713,22.0
714,22.0
715,22.0
716,22.0
717,22.0
718,22.0
719,22.0
720,22.0
721,22.0
722,22.0
723,22.0
724,22.0
725,22.0
726,22.0
727,22.0
728,22.0
729,22.0
730,22.0
731,22.0
732,22.0
733,22.0
734,22.0
735,22.0
736,22.0
737,22.0
738,22.0
739,22.0
740,22.0
741,22.0
742,22.0
743,22.0
744,22.0
745,22.0
746,22.0
747,22.0
748,22.0
749,22.0
750,22.0
751,22.0
752,22.0
753,22.0
754,53.2
755,42.8
756,44.9
757,49.0
758,54.9
759,47.6
760,53.8
761,53.8
762,49.2
763,50.0
764,55.3
765,38.1
766,48.6
767,48.8
768,48.7
769,52.8
770,48.7
771,48.6
772,51.3
773,37.3
774,46.9
775,52.2
776,53.0
777,51.5
778,37.1
779,52.3
780,44.2
781,49.6
782,48.4
783,52.9
784,53.0
785,35.1
786,42.8
787,47.4
788,53.0
789,53.4
790,46.9
791,39.3
792,48.2
793,46.7
794,46.5
795,53.9
796,91.4
797,55.6
798,59.3
799,54.7
800,51.4
801,39.6
802,44.8
803,46.0
804,44.5
805,44.8
806,47.8
807,48.3
808,50.2
809,49.0
810,50.3
811,52.4
812,51.0
813,50.4
814,45.0
815,48.5
816,50.7
817,50.6
818,47.7
819,40.0
820,51.1
821,44.3
822,45.4
823,51.5
824,55.4
825,46.2
826,45.1
827,48.6
828,53.8
829,47.3
830,57.8
831,48.1
832,50.4
833,46.8
834,47.1
835,44.9
836,44.6
837,48.6
838,57.7
839,45.1
840,48.6
841,42.1
842,54.3
843,52.4
844,43.0
845,53.7
846,50.4
847,45.4
848,45.3
849,49.2
850,46.3
851,47.0
852,48.8
853,49.1
854,51.6
855,40.1
856,51.0
857,50.7
858,51.2
859,54.1
860,50.5
861,53.2
862,47.2
863,52.9
864,49.9
865,53.2
866,49.2
867,47.5
868,52.0
869,53.7
870,52.2
871,49.8
872,53.7
873,46.2
874,43.2
875,36.1
876,49.2
877,46.1
878,51.0
879,49.3
880,50.7
881,50.8
882,47.1
883,51.6
884,54.1
885,45.5
886,47.4
887,41.6
888,48.5
889,46.8
890,47.0
891,50.9
892,49.1
893,47.5
894,50.7
895,57.6
896,49.3
897,52.0
899,49.4
900,49.6
901,37.6
902,46.1
903,46.6
904,48.4
905,53.0
906,48.7
907,52.5
908,40.1
909,25.0
910,47.1
911,51.6
912,25.0
913,37.0
914,51.5
915,25.0
916,25.0
917,50.7
918,25.0
919,50.6
920,51.7
921,51.2
922,55.8
923,25.0
924,53.4
925,48.7
926,37.3
927,46.5
928,25.0
929,25.0
930,49.3
931,48.8
932,25.0
933,45.4
934,46.6
935,47.4
936,48.8
937,47.6
938,41.2
939,50.3
940,56.9
941,52.3
942,53.6
943,48.0
944,56.9
945,49.3
946,47.0
947,47.7
948,52.1
949,57.1
950,42.2
951,38.3
952,48.2
953,57.9
954,51.9
955,49.5
956,39.8
957,49.2
958,53.2
959,53.1
960,40.2
961,50.6
962,50.2
963,48.2
964,48.9
965,50.2
966,78.8
967,45.7
968,57.1
969,50.0
970,50.0
971,59.9
972,52.7
973,50.5
974,43.6
975,54.7
976,47.7
977,72.5
978,47.6
979,61.2
980,43.5
981,49.6
982,55.6
983,50.1
984,52.0
985,48.4
986,45.2
987,50.9
988,47.4
989,46.4
990,38.9
991,52.3
992,52.9
993,48.3
994,49.8
995,52.1
996,53.1
997,52.3
998,49.9
999,53.6
1000,40.0
1001,49.4
1002,45.4
1003,54.0
1004,52.9
1005,42.0
1006,42.4
1007,51.0
1008,52.4
1009,50.0
1010,51.5
1011,53.6
1012,48.8
1013,48.7
1014,44.6
1015,35.5
1016,45.8
1017,50.6
1018,53.9
1019,39.3
1020,51.9
1021,42.7
1022,55.0
1023,41.2
1024,41.7
1025,46.6
1026,36.6
1027,45.2
1028,53.2
1029,49.4
1030,50.6
1031,44.6
1032,48.8
1033,45.1
1034,54.5
1035,48.5
1036,47.1
1037,46.2
1038,45.2
1039,50.0
1040,43.2
1041,53.1
1042,57.8
1043,50.9
1044,51.0
1045,54.5
1046,45.2
1047,35.7
1048,53.5
1049,60.6
1050,44.3
1051,48.7
1052,47.9
1053,53.3
1054,50.8
1055,54.7
1056,55.3
1057,45.9
1058,56.0
1059,45.8
1060,46.0
1061,49.3
1062,53.3
1063,57.8
1064,36.7
1065,47.9
1066,36.4
1067,48.2
1068,40.7
1069,40.3
1070,45.8
1071,50.8
1072,45.3
1073,47.3
1074,50.6
1075,34.9
1076,47.4
1077,56.0
1078,47.1
1079,52.0
1080,45.4
1081,44.4
1082,45.9
1083,45.5
1084,52.9
1085,52.6
1086,44.2
1087,46.3
1088,46.7
1089,55.3
1090,46.6
1091,43.7
1092,50.3
1093,48.9
1094,55.0
1095,44.8
1096,53.1
1097,52.3
1098,47.7
1099,57.2
1100,45.1
1101,44.2
1102,55.1
1103,48.0
1104,50.8
1105,47.0
1106,54.2
1107,48.1
1108,53.0
1109,47.5
1110,49.5
1111,50.4
1112,49.8
1113,49.0
1114,49.2
1115,50.5
1116,42.3
1117,50.4
1118,40.3
1119,52.4
1120,44.9
1121,52.1
1122,49.1
1123,53.7
1124,52.2
1125,53.3
1126,45.5
1127,60.4
1128,46.8
1129,53.4
1130,60.9
1131,47.9
1132,52.4
1133,46.1
1134,48.7
1135,48.3
1136,45.7
1137,41.0
1138,56.3
1139,38.7
1140,48.1
1141,48.4
1142,52.2
1143,43.0
1144,47.4
1145,41.9
1146,53.4
1147,48.9
1148,43.0
1149,39.3
1150,57.5
1151,43.5
1152,57.0
1153,51.8
1154,52.8
1155,52.7
1156,82.6
1157,41.2
1158,36.9
1159,51.0
1160,53.8
1161,40.8
1162,47.0
1163,49.1
1164,49.8
1165,53.0
1166,50.9
1167,46.9
1168,49.4
1169,43.7
1170,54.7
1171,47.6
1172,47.3
1173,44.8
1174,40.9
1175,47.0
1176,41.2
1177,41.6
1178,39.9
1179,50.7
1180,52.5
1181,42.3
1182,47.5
1183,41.6
1184,47.5
1185,50.3
1186,41.3
1187,43.2
1188,52.4
1189,53.4
1190,52.4
1191,37.6
1192,38.3
1193,45.6
1194,50.4
1195,44.2
1196,44.4
1197,36.3
1198,47.3
1199,56.6
1200,41.2
1201,41.4
1202,42.6
1203,51.1
1204,48.1
1205,50.3
1206,42.2
1207,49.4
1208,46.5
1209,54.7
1210,37.8
1211,45.8
1212,46.2
1213,48.9
1214,52.5
1215,58.1
1216,46.2
1217,53.8
1218,44.0
1219,44.7
1220,56.2
1221,47.9
1222,43.0
1223,59.4
1224,40.0
1225,52.1
1226,37.8
1227,40.0
1228,49.3
1229,47.4
1230,47.7
1231,56.0
1232,53.1
1233,49.0
1234,35.0
1235,52.6
1236,59.6
1237,39.2
1238,51.8
1239,54.0
1240,47.6
1241,58.8
1242,57.3
1243,58.4
1244,56.5
1245,57.1
1246,56.0
1247,48.9
1248,50.9
1249,40.0
1250,51.5
1251,54.2
1252,33.9
1253,52.8
1254,45.3
1255,51.4
1256,52.9
1257,32.5
1258,36.0
1259,57.7
1260,50.5
1261,54.2
1262,47.2
1263,44.3
1264,42.9
1265,34.4
1266,50.8
1267,40.0
1268,53.3
1269,65.0
1270,56.9
1271,50.1
1272,53.1
1273,52.9
1274,58.0
1275,50.3
1276,56.7
1277,58.8
1278,58.2
1279,49.6
1280,40.9
1281,42.5
1282,62.0
1283,48.8
1284,44.0
1285,48.1
1286,55.1
1287,48.3
1288,48.4
1289,43.9
1290,53.3
1291,60.8
1292,43.0
1293,40.4
1294,45.1
1295,46.6
1296,53.1
1297,41.4
1298,43.9
1299,85.0
1300,42.6
1301,50.4
1302,50.1
1303,41.4
1304,44.4
1305,48.6
1306,54.6
1307,48.2
1308,55.3
1309,58.3
1310,54.0
1311,50.8
1312,48.2
1313,49.5
1314,39.1
1315,43.6
1316,60.6
1317,46.4
1318,34.5
1319,40.5
1320,50.7
1321,52.6
1322,53.0
1323,48.2
1324,51.7
1325,41.3
1326,43.0
1327,46.1
1328,43.2
1329,38.9
1330,52.3
1331,52.0
1332,37.9
1333,56.6
1334,52.5
1335,44.3
1336,49.1
1337,51.4
1338,52.6
1339,49.4
1340,49.4
1341,39.9
1342,51.3
1343,49.0
1344,47.5
1345,80.8
1346,49.8
1347,49.5
1348,47.3
1349,43.4
1350,58.9
1351,45.5
1352,62.3
1353,51.7
1354,25.0
1355,25.0
1356,25.0
1357,25.0
1358,25.0
1359,25.0
1360,50.9
1361,45.9
1362,35.6
1363,36.9
1364,50.5
1365,37.5
1366,53.0
1367,44.1
1368,52.0
1369,44.7
1370,49.8
1371,47.6
1372,51.6
1373,48.5
1374,65.1
1375,44.4
1376,47.4
1377,35.9
1378,48.8
1379,41.3
1380,87.8
1381,39.7
1382,50.8
1383,48.8
1384,51.9
1385,39.9
1386,49.1
1387,47.3
1388,54.8
1389,67.1
1390,47.7
1391,50.8
1392,53.9
1393,49.0
1394,45.6
1395,49.1
1396,44.8
1397,46.2
1398,54.9
1399,54.1
1400,53.2
1401,91.5
1402,37.2
1403,42.4
1404,51.4
1405,44.5
1406,42.9
1407,40.3
1408,49.7
1409,53.8
1410,78.3
1411,42.4
1412,43.7
1413,58.0
1414,45.8
1415,39.0
1416,48.7
1417,46.2
1418,45.9
1419,49.3
1420,44.9
1421,46.1
1422,57.1
1423,52.0
1424,33.5
1425,40.6
1426,44.3
1427,53.9
1428,40.0
1429,52.6
1430,37.1
1431,57.1
1432,51.7
1433,43.3
1434,56.6
1435,40.6
1436,54.2
1437,47.3
1438,44.5
1439,45.4
1440,47.0
1441,39.7
1442,37.3
1443,46.0
1444,54.0
1445,48.7
1446,42.5
1447,50.7
1448,47.2
1449,49.7
1450,34.9
1451,57.3
1452,64.5
1453,53.2
1454,51.5
1455,50.8
1456,50.2
1457,53.9
1458,44.3
1459,51.9
1460,33.9
1461,37.1
1462,49.2
1463,38.9
1464,76.8
1465,50.6
1466,50.8
1467,42.2
1468,53.5
1469,39.1
1470,45.0
1471,49.9
1472,44.4
1473,44.8
1474,61.1
1475,48.3
1476,49.4
1477,45.1
1478,50.7
1479,43.6
1480,58.5
1481,46.9
1482,47.5
1483,48.1
1484,52.6
1485,53.7
1486,57.6
1487,45.0
1488,39.1
1489,45.7
1490,37.6
1491,59.2
1492,62.7
1493,55.9
1494,49.8
1495,47.8
1496,44.8
1497,48.4
1498,42.0
1499,49.3
1500,42.6
1501,45.1
1502,36.1
1503,43.7
1504,40.9
1505,45.1
1506,42.3
1507,52.5
1508,48.3
1509,48.1
1510,56.9
1511,55.8
1512,46.7
1513,37.7
1514,34.4
1515,50.6
1516,33.4
1517,43.7
1518,55.1
1519,51.5
1520,49.0
1521,42.1
1522,51.7
1523,47.7
1524,57.4
1525,55.1
1526,40.7
1527,66.6
1528,51.4
1529,64.0
1530,49.6
1531,58.2
1532,49.1
1533,49.8
1534,47.2
1535,45.8
1536,44.5
1537,50.3
1538,46.2
1539,46.9
1540,47.7
1541,45.5
1542,53.8
1543,54.1
1544,47.0
1545,55.4
1546,56.8
1547,47.8
1548,48.4
1549,51.7
1550,50.1
1551,45.5
1552,53.4
1553,43.7
1554,54.2
1555,41.6
1556,60.0
1557,46.9
1558,48.0
1559,46.3
1560,46.4
1561,52.4
1562,48.1
1563,43.7
1564,52.3
1565,79.1
1566,48.5
1567,50.3
1568,52.4
1569,49.6
1570,50.1
1571,49.8
1572,51.7
1573,45.0
1574,51.3
1575,25.0
1576,25.0
1577,25.0
1578,46.1
1579,49.3
1580,53.8
1581,47.5
1582,46.8
1583,50.9
1584,41.5
1585,52.5
1586,45.6
1587,45.3
1588,40.8
1589,38.8
1590,44.6
1591,44.1
1592,48.3
1593,48.8
1594,52.6
1595,44.6
1596,45.1
1597,47.5
1598,34.9
1599,48.4
1600,49.1
1601,46.2
1602,44.1
1603,47.5
1604,41.8
1605,78.4
1606,45.9
1607,41.2
1608,39.5
1609,47.6
1610,44.3
1611,52.4
1612,47.6
1613,72.2
1614,25.0
1615,25.0
1616,56.4
1617,25.0
1618,63.2
1619,61.3
1620,58.5
1621,62.5
1622,54.9
1623,71.0
1624,59.1
1625,71.0
1626,69.6
1627,49.0
1628,55.1
1629,48.9
1630,50.2
1631,46.6
1632,38.4
1633,52.8
1634,49.4
1635,45.1
1636,45.0
1637,54.8
1638,57.4
1639,49.9
1640,47.5
1641,48.8
1642,25.0
1643,25.0
1644,42.9
1645,43.9
1646,29.9
1647,34.5
1648,41.3
1649,24.9
1650,24.9
1651,28.6
1652,25.0
1653,47.8
1654,24.9
1655,39.5
1656,40.3
1657,34.5
1658,40.0
1659,37.8
1660,25.0
1661,42.0
1662,38.5
1663,29.6
1664,24.9
1665,34.5
1666,41.4
1667,33.5
1668,42.3
1669,24.9
1670,34.5
1671,41.7
1672,33.5
1673,41.2
1674,24.9
1675,25.0
1676,40.5
1677,29.6
1678,27.4
1679,25.0
1680,32.5
1681,40.0
1682,24.9
1683,40.0
1684,44.0
1685,24.9
1686,33.5
1687,43.4
1688,42.5
1689,34.5
1690,25.0
1691,39.1
1692,48.3
1693,47.1
1694,47.2
1695,49.3
1696,61.2
1697,43.8
1698,51.2
1699,47.7
1700,46.7
1701,68.2
1702,44.4
1703,43.4
1704,51.5
1705,48.6
1706,49.0
1707,44.4
1708,70.5
1709,41.6
1710,53.6
1711,46.5
1712,74.9
1713,48.0
1714,42.7
1715,78.3
1716,83.0
1717,88.9
1718,50.6
1719,52.7
1720,50.5
1721,61.8
1722,53.3
1723,37.1
1724,37.8
1725,37.7
1726,72.0
1727,57.2
1728,50.0
1729,51.6
1730,40.3
1731,48.5
1732,44.0
1733,56.5
1734,51.6
1735,43.5
1736,50.1
1737,73.5
1738,51.3
1739,50.2
1740,45.7
1741,49.5
1742,51.9
1743,62.3
1744,56.7
1745,44.2
1746,46.6
1747,45.4
1748,46.0
1749,50.1
1750,48.9
1751,48.5
1752,41.3
1753,47.4
1754,53.7
1755,59.2
1756,54.9
1757,42.3
1758,51.2
1759,43.4
1760,46.5
1761,48.0
1762,49.6
1763,42.0
1764,50.8
1765,49.7
1766,47.5
1767,49.7
1768,42.2
1769,43.4
1770,59.4
1771,51.2
1772,56.1
1773,44.1
1774,49.8
1775,50.7
1776,50.6
1777,47.4
1778,51.3
1779,49.4
1780,51.9
1781,47.8
1782,48.2
1783,53.6
1784,59.5
1785,47.6
1786,49.1
1787,50.3
1788,42.1
1789,51.8
1790,46.4
1791,47.4
1792,51.2
1793,53.8
1794,39.8
1795,46.9
1796,45.6
1797,43.8
1798,47.9
1799,48.8
1800,47.4
1801,46.3
1802,53.8
1803,45.9
1804,42.8
1805,53.4
1806,45.9
1807,52.5
1808,42.6
1809,52.8
1810,46.1
1811,44.3
1812,44.7
1813,37.9
1814,54.5
1815,89.6
1816,48.1
1817,42.3
1818,41.6
1819,43.2
1821,43.2
1822,49.0
1823,51.3
1824,50.1
1825,52.9
1826,40.7
1827,48.3
1828,55.6
1829,56.5
1830,25.0
1831,25.0
1832,25.0
1833,55.1
1834,25.0
1835,25.0
1836,40.4
1837,48.8
1838,54.9
1839,47.6
1840,52.6
1841,36.5
1842,42.0
1843,40.5
1844,44.5
1845,50.1
1846,25.0
1847,39.4
1848,36.6
1849,45.3
1850,42.0
1851,61.5
1852,47.7
1853,53.5
1854,51.3
1855,49.5
1856,37.0
1857,53.7
1858,51.0
1859,67.8
1860,52.8
1861,50.2
1862,48.9
1863,54.2
1864,53.7
1865,47.4
1866,49.5
1867,46.8
1868,46.9
1869,46.4
1870,47.8
1871,49.1
1872,42.2
1873,51.4
1874,36.0
1875,48.1
1876,47.3
1877,46.9
1878,52.0
1879,52.6
1880,47.6
1881,36.7
1882,42.8
1883,54.0
1884,49.0
1885,45.8
1886,48.5
1887,48.0
1888,54.5
1889,50.4
1890,46.1
1891,46.8
1892,46.4
1893,56.0
1894,46.0
1895,50.2
1896,60.3
1897,54.0
1898,40.0
1899,65.3
1900,45.2
1901,68.3
1902,50.3
1903,43.4
1904,45.1
1905,46.8
1906,45.5
1907,46.9
1908,47.3
1909,42.9
1910,36.2
1911,48.9
1913,48.6
1914,45.6
1916,36.3
1917,52.3
1918,52.9
1919,79.5
1920,42.9
1921,49.0
1922,33.6
1923,25.0
1924,25.0
1925,25.0
1926,25.0
1927,25.0
1928,25.0
1929,25.0
1930,25.0
1931,25.0
1932,25.0
1933,25.0
1934,25.0
1935,25.0
1936,25.0
1937,41.6
1938,47.3
1939,50.2
1940,42.7
1941,49.4
1942,55.9
1943,49.2
1944,37.7
1945,41.6
1946,47.8
1947,41.9
1948,56.3
1949,53.3
1950,45.8
1951,59.3
1952,35.1
1953,52.4
1954,48.7
1955,38.3
1956,45.1
1957,49.4
1958,42.7
1959,52.2
1960,42.7
1961,52.7
1962,50.2
1963,52.5
1964,51.6
1965,41.5
1966,20.0
1967,20.0
1968,20.0
1969,20.0
1970,20.0
1971,20.0
1972,20.0
1973,20.0
1974,20.0
1975,20.0
1976,20.0
1977,20.0
1978,25.0
1979,20.0
1980,20.0
1981,20.0
1982,25.0
1983,20.0
1984,20.0
1985,20.0
1986,20.0
1987,20.0
1988,20.0
1989,25.0
1990,20.0
1991,20.0
1992,20.0
1993,20.0
1994,25.0
1995,25.0
1996,45.0
1997,38.5
1998,51.9
1999,51.9
2000,51.9
2001,51.9
2002,51.9
2003,51.9
2004,51.9
2005,51.9
2006,51.9
2007,51.9
2008,51.9
2009,51.9
2010,51.9
2011,51.9
2012,51.9
2013,51.9
2014,51.9
2015,51.9
2016,51.9
2017,51.9
2018,51.9
2019,51.9
2020,51.9
2021,51.9
2022,51.9
2023,51.9
2024,51.9
2025,51.9
2026,51.9
2027,51.9
2028,51.9
2029,57.9
2030,41.2
2031,68.7
2032,43.8
2033,49.4
2034,44.7
2035,47.8
2036,43.3
2037,53.1
2038,78.2
2039,40.2
2040,46.6
2041,40.5
2042,42.6
2043,80.1
2044,48.0
2045,48.5
2046,43.3
2047,41.7
2048,52.1
2049,40.8
2050,36.3
2051,65.2
2052,44.9
2053,46.9
2054,51.7
2055,69.4
2056,41.7
2057,37.4
2058,42.4
2059,39.1
2060,57.1
2061,53.0
2062,42.7
2063,44.6
2064,48.0
2065,54.2
2066,44.2
2067,50.9
2068,45.3
2069,44.8
2070,50.7
2071,39.7
2072,64.2
2073,41.8
2074,39.0
2075,51.5
2076,41.3
2077,45.0
2078,50.9
2079,52.2
2080,42.4
2081,77.3
2082,40.5
2083,64.3
2084,44.8
2085,37.6
2086,40.6
2087,44.1
2088,48.5
2089,51.2
2090,48.9
2091,42.1
2092,51.5
2093,47.7
2094,46.6
2095,56.2
2096,51.8
2097,44.5
2098,50.3
2099,55.1
2100,49.1
2101,47.6
2102,50.3
2103,48.2
2104,54.9
2105,49.4
2106,50.6
2107,49.9
2108,49.3
2109,49.6
2110,52.9
2111,52.1
2112,52.8
2113,55.4
2114,53.0
2115,51.2
2116,37.7
2117,46.7
2118,36.7
2119,45.5
2120,39.3
2121,45.2
2122,42.4
2123,55.1
2124,53.5
2125,49.7
2126,47.9
2127,46.1
2128,48.7
2129,56.3
2130,49.6
2131,53.0
2132,52.0
2133,54.0
2134,49.1
2135,40.8
2136,54.0
2137,51.6
2138,50.7
2139,53.3
2140,50.1
2141,52.9
2142,54.7
2143,40.4
2144,43.2
2145,53.4
